<Ticker>,<Per>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<VAL>,<COUNT>,<PREVIOUS>,<COL1>,<COL2>,<TSEClose>,<MarketValue>,<ShareCount>
ZAGROS,d,20111217,000000,11420,11728,11420,11728,212351,2461312321,33,11728,زاگرس,13900926,000000,11591,28147200000000,2400000000
ZAGROS,d,20111218,000000,11421,11421,11420,11420,59647,681227387,11,11591,زاگرس,13900927,000000,11421,27408000000000,2400000000
ZAGROS,d,20111219,000000,10851,11397,10850,10851,106706,1158341100,21,11421,زاگرس,13900928,000000,10855,26042400000000,2400000000
ZAGROS,d,20111220,000000,11299,11299,10501,10560,48604,511944539,12,10855,زاگرس,13900929,000000,10533,25344000000000,2400000000
ZAGROS,d,20111221,000000,10077,11000,10077,11000,3072,33476334,7,10533,زاگرس,13900930,000000,10897,26400000000000,2400000000
ZAGROS,d,20111224,000000,11000,11000,10615,10856,36282,392428461,10,10897,زاگرس,13901003,000000,10816,26054400000000,2400000000
ZAGROS,d,20111225,000000,10800,10800,10506,10516,109090,1146834828,13,10816,زاگرس,13901004,000000,10513,25238400000000,2400000000
ZAGROS,d,20111226,000000,10517,10540,10516,10533,24811,261198865,10,10513,زاگرس,13901005,000000,10528,25279200000000,2400000000
ZAGROS,d,20111227,000000,10998,10998,10510,10650,21000,228338000,13,10528,زاگرس,13901006,000000,10873,25560000000000,2400000000
ZAGROS,d,20111231,000000,11004,12500,11004,11650,343171,4028222505,116,10873,زاگرس,13901010,000000,11738,27960000000000,2400000000
ZAGROS,d,20120101,000000,11700,11702,11008,11199,20349,228644406,33,11738,زاگرس,13901011,000000,11183,26877600000000,2400000000
ZAGROS,d,20120102,000000,11000,11000,10551,11000,44557,488636791,21,11183,زاگرس,13901012,000000,11173,26400000000000,2400000000
ZAGROS,d,20120103,000000,11500,12450,11500,12139,705124,8441457431,236,11173,زاگرس,13901013,000000,11760,29133600000000,2400000000
ZAGROS,d,20120104,000000,12100,12188,12002,12052,174930,2116858795,66,11760,زاگرس,13901014,000000,12101,28924800000000,2400000000
ZAGROS,d,20120107,000000,12130,12130,11999,11999,12820,153852450,15,12101,زاگرس,13901017,000000,12001,28797600000000,2400000000
ZAGROS,d,20120108,000000,11502,11750,11502,11730,131804,1536052446,15,12001,زاگرس,13901018,000000,11654,28152000000000,2400000000
ZAGROS,d,20120109,000000,11998,12060,11993,12050,260848,3131255063,43,11654,زاگرس,13901019,000000,12004,28920000000000,2400000000
ZAGROS,d,20120110,000000,12185,12604,12185,12604,557890,6996059150,112,12004,زاگرس,13901020,000000,12540,30249600000000,2400000000
ZAGROS,d,20120111,000000,13167,13167,12909,13167,1906294,25098997452,414,12540,زاگرس,13901021,000000,13166,31600800000000,2400000000
ZAGROS,d,20120115,000000,13680,13680,12509,13400,277395,3671100252,106,13166,زاگرس,13901025,000000,13234,32160000000000,2400000000
ZAGROS,d,20120116,000000,13480,13640,13460,13570,418105,5651155885,72,13234,زاگرس,13901026,000000,13516,32568000000000,2400000000
ZAGROS,d,20120117,000000,13550,13550,13156,13156,264604,3519733049,34,13516,زاگرس,13901027,000000,13302,31574400000000,2400000000
ZAGROS,d,20120118,000000,13156,13300,13150,13300,75131,992763178,34,13302,زاگرس,13901028,000000,13214,31920000000000,2400000000
ZAGROS,d,20120121,000000,12969,13187,12968,13020,157822,2055813748,41,13214,زاگرس,13901101,000000,13026,31248000000000,2400000000
ZAGROS,d,20120123,000000,13000,13045,12750,13045,164785,2142959006,52,13026,زاگرس,13901103,000000,13005,31308000000000,2400000000
